route_id,direction_id,service_id,idle_time_average
1,0,ELECDOM,19.857142857142858
1,0,ELECSAB,19.857142857142858
1,0,ELECUTEIS,19.857142857142858
1,1,ELECDOM,19.457142857142856
1,1,ELECSAB,19.457142857142856
1,1,ELECUTEIS,19.457142857142856
106,0,UTEIS,36.0
106,1,UTEIS,36.0
107,0,DOM,50.0
107,0,SAB,50.0
107,0,UTEIS,33.333333333333336
107,1,DOM,50.0
107,1,SAB,50.0
107,1,UTEIS,33.333333333333336
10M,0,DOM,60.0
10M,0,SAB,60.0
10M,0,UTEIS,60.0
10M,1,DOM,60.0
10M,1,SAB,60.0
10M,1,UTEIS,60.0
11M,0,DOM,60.0
11M,0,SAB,60.0
11M,0,UTEIS,60.0
11M,1,DOM,60.0
11M,1,SAB,60.0
11M,1,UTEIS,60.0
12M,0,DOM,60.0
12M,0,SAB,60.0
12M,0,UTEIS,60.0
12M,1,DOM,60.0
12M,1,SAB,60.0
12M,1,UTEIS,60.0
13M,0,DOM,60.0
13M,0,SAB,60.0
13M,0,UTEIS,60.0
13M,1,DOM,60.0
13M,1,SAB,60.0
13M,1,UTEIS,60.0
18,0,ELECDOM,30.0
18,0,ELECSAB,30.0
18,0,ELECUTEIS,30.0
18,1,ELECDOM,29.166666666666668
18,1,ELECSAB,29.166666666666668
18,1,ELECUTEIS,29.166666666666668
1M,0,DOM,60.0
1M,0,SAB,60.0
1M,0,UTEIS,60.0
1M,1,DOM,60.0
1M,1,SAB,60.0
1M,1,UTEIS,60.0
200,0,DOM,29.72222222222222
200,0,SAB,22.76595744680851
200,0,UTEIS,13.375
200,1,DOM,29.085714285714285
200,1,SAB,23.4
200,1,UTEIS,13.675324675324676
201,0,DOM,27.65625
201,0,SAB,25.0
201,0,UTEIS,13.432835820895523
201,1,DOM,28.59375
201,1,SAB,25.135135135135137
201,1,UTEIS,15.0
202,0,DOM,34.074074074074076
202,0,SAB,34.074074074074076
202,0,UTEIS,19.163265306122447
202,1,DOM,34.44444444444444
202,1,SAB,34.44444444444444
202,1,UTEIS,18.333333333333332
203,0,DOM,35.625
203,0,SAB,35.625
203,0,UTEIS,20.113636363636363
203,1,DOM,37.17391304347826
203,1,SAB,37.17391304347826
203,1,UTEIS,19.444444444444443
204,0,DOM,31.363636363636363
204,0,SAB,27.972972972972972
204,0,UTEIS,15.447761194029852
204,1,DOM,31.93548387096774
204,1,SAB,28.285714285714285
204,1,UTEIS,15.538461538461538
205,0,DOM,20.471698113207548
205,0,SAB,17.903225806451612
205,0,UTEIS,11.212121212121213
205,1,DOM,20.865384615384617
